"year","month","day","country","Data_name","values"
"2002","12","29",Argentina,Flue_data,
"2002","12","29",Argentina,Dengue_data,
"2002","12","29",Bolivia,Flue_data,
"2002","12","29",Bolivia,Dengue_data,0.101
"2002","12","29",Brazil,Flue_data,174.0
"2002","12","29",Brazil,Dengue_data,0.073
"2002","12","29",Mexico,Flue_data,
"2002","12","29",Mexico,Dengue_data,
"2003","01","05",Argentina,Flue_data,
"2003","01","05",Argentina,Dengue_data,
"2003","01","05",Bolivia,Flue_data,
"2003","01","05",Bolivia,Dengue_data,0.143
"2003","01","05",Brazil,Flue_data,162.0
"2003","01","05",Brazil,Dengue_data,0.098
"2003","01","05",Mexico,Flue_data,
"2003","01","05",Mexico,Dengue_data,
"2003","01","12",Argentina,Flue_data,
"2003","01","12",Argentina,Dengue_data,
"2003","01","12",Bolivia,Flue_data,
"2003","01","12",Bolivia,Dengue_data,0.176
"2003","01","12",Brazil,Flue_data,174.0
"2003","01","12",Brazil,Dengue_data,0.119
"2003","01","12",Mexico,Flue_data,
"2003","01","12",Mexico,Dengue_data,0.071
"2003","01","19",Argentina,Flue_data,
"2003","01","19",Argentina,Dengue_data,
"2003","01","19",Bolivia,Flue_data,
"2003","01","19",Bolivia,Dengue_data,0.173
"2003","01","19",Brazil,Flue_data,162.0
"2003","01","19",Brazil,Dengue_data,0.17
"2003","01","19",Mexico,Flue_data,
"2003","01","19",Mexico,Dengue_data,0.052
"2003","01","26",Argentina,Flue_data,
"2003","01","26",Argentina,Dengue_data,
"2003","01","26",Bolivia,Flue_data,
"2003","01","26",Bolivia,Dengue_data,0.146
"2003","01","26",Brazil,Flue_data,131.0
"2003","01","26",Brazil,Dengue_data,0.138
"2003","01","26",Mexico,Flue_data,
"2003","01","26",Mexico,Dengue_data,0.048
"2003","02","02",Argentina,Flue_data,136.0
"2003","02","02",Argentina,Dengue_data,
"2003","02","02",Bolivia,Flue_data,
"2003","02","02",Bolivia,Dengue_data,0.16
"2003","02","02",Brazil,Flue_data,151.0
"2003","02","02",Brazil,Dengue_data,0.202
"2003","02","02",Mexico,Flue_data,
"2003","02","02",Mexico,Dengue_data,0.041
"2003","02","09",Argentina,Flue_data,145.0
"2003","02","09",Argentina,Dengue_data,
"2003","02","09",Bolivia,Flue_data,
"2003","02","09",Bolivia,Dengue_data,0.225
"2003","02","09",Brazil,Flue_data,184.0
"2003","02","09",Brazil,Dengue_data,0.179
"2003","02","09",Mexico,Flue_data,
"2003","02","09",Mexico,Dengue_data,0.042
"2003","02","16",Argentina,Flue_data,141.0
"2003","02","16",Argentina,Dengue_data,0.046
"2003","02","16",Bolivia,Flue_data,
"2003","02","16",Bolivia,Dengue_data,0.109
"2003","02","16",Brazil,Flue_data,162.0
"2003","02","16",Brazil,Dengue_data,0.239
"2003","02","16",Mexico,Flue_data,
"2003","02","16",Mexico,Dengue_data,0.049
"2003","02","23",Argentina,Flue_data,135.0
"2003","02","23",Argentina,Dengue_data,0.048
"2003","02","23",Bolivia,Flue_data,426.0
"2003","02","23",Bolivia,Dengue_data,0.147
